-d-c----x---- : /atf_logger : mediatek,atf_logger : drivers/misc/mediatek/atf_log/atf_logger.c : atf_log-y : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/vpac270.c : CONFIG_MACH_VPAC270 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/z2.c : CONFIG_MACH_ZIPIT2 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-s3c24xx/mach-gta02.c : CONFIG_MACH_NEO1973_GTA02 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-s3c24xx/mach-h1940.c : CONFIG_ARCH_H1940 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-s3c24xx/mach-mini2440.c : CONFIG_MACH_MINI2440 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-s3c24xx/mach-n30.c : CONFIG_MACH_N30 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-s3c24xx/mach-rx1950.c : CONFIG_MACH_RX1950 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-s3c64xx/mach-crag6410.c : CONFIG_MACH_WLF_CRAGG_6410 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-s3c64xx/mach-smartq5.c : CONFIG_MACH_SMARTQ5 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-s3c64xx/mach-smartq7.c : CONFIG_MACH_SMARTQ7 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-sa1100/collie.c : CONFIG_SA1100_COLLIE : none
-dDcC--H----- : /gpio-keys : gpio-keys : arch/arm/mach-sa1100/h3xxx.c : CONFIG_SA1100_H3100 : none
-dDcC--H----- : /gpio-keys : gpio-keys : arch/arm/mach-sa1100/h3xxx.c : CONFIG_SA1100_H3600 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-sa1100/simpad.c : CONFIG_SA1100_SIMPAD : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/avr32/boards/atngw100/mrmt.c : CONFIG_BOARD_ATNGW100_MRMT : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/blackfin/mach-bf518/boards/ezbrd.c : CONFIG_BFIN518F_EZBRD : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/blackfin/mach-bf518/boards/tcm-bf518.c : CONFIG_BFIN518F_TCM : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/blackfin/mach-bf527/boards/cm_bf527.c : CONFIG_BFIN527_BLUETECHNIX_CM : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/blackfin/mach-bf527/boards/ezbrd.c : CONFIG_BFIN526_EZBRD : none
-dDcC--H----- : /gpio-keys : gpio-keys : arch/blackfin/mach-bf527/boards/ezkit.c : CONFIG_BFIN527_EZKIT : none
-dDcC--H----- : /gpio-keys : gpio-keys : arch/blackfin/mach-bf527/boards/ezkit.c : CONFIG_BFIN527_EZKIT_V2 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/blackfin/mach-bf533/boards/blackstamp.c : CONFIG_BLACKSTAMP : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/blackfin/mach-bf533/boards/ezkit.c : CONFIG_BFIN533_EZKIT : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/blackfin/mach-bf533/boards/stamp.c : CONFIG_BFIN533_STAMP : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/blackfin/mach-bf537/boards/stamp.c : CONFIG_BFIN537_STAMP : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/blackfin/mach-bf538/boards/ezkit.c : CONFIG_BFIN538_EZKIT : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/blackfin/mach-bf548/boards/cm_bf548.c : CONFIG_BFIN548_BLUETECHNIX_CM : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/blackfin/mach-bf548/boards/ezkit.c : CONFIG_BFIN548_EZKIT : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/blackfin/mach-bf561/boards/ezkit.c : CONFIG_BFIN561_EZKIT : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/blackfin/mach-bf609/boards/ezkit.c : CONFIG_BFIN609_EZKIT : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/mips/alchemy/board-mtx1.c : CONFIG_MIPS_MTX1 : none
-dDc---Hx---- : /gpio-keys : gpio-keys : arch/mips/alchemy/devboards/db1300.c : obj-y : none
-dDc---Hx---- : /gpio-keys : gpio-keys : arch/mips/bcm47xx/buttons.c : obj-y : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/mips/jz4740/board-qi_lb60.c : CONFIG_JZ4740_QI_LB60 : none
-dDc---Hx---- : /gpio-keys : gpio-keys : arch/sh/boards/mach-x3proto/setup.c : obj-y : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/unicore32/kernel/puv3-nb0916.c : CONFIG_PUV3_NB0916 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/x86/platform/intel-mid/device_libs/platform_gpio_keys.c : CONFIG_KEYBOARD_GPIO : none
-dDc---H----- : /gpio-keys : gpio-keys : drivers/input/keyboard/gpio_keys.c : CONFIG_KEYBOARD_GPIO : none
-dDc---H----- : /gpio-keys : gpio-keys : drivers/input/misc/soc_button_array.c : CONFIG_INPUT_SOC_BUTTON_ARRAY : none
-dDc---H----- : /gpio-keys : gpio-keys : drivers/mfd/ucb1x00-assabet.c : CONFIG_SA1100_ASSABET && CONFIG_MCP_UCB1200 : none

-d-c----x---- : /lcm : mediatek,lcm : drivers/misc/mediatek/lcm/nt35595_fhd_dsi_cmd_truly_8163/nt35595_fhd_dsi_cmd_truly_8163.c : obj-y : none

------------- : /mt8167_audio_codec : mediatek,mt8167-codec : no_driver : no_config : none

------------- : /mtcpufreq : mediatek,mt8167-cpufreq : no_driver : no_config : none

-dDc----x---- : /opp_table0 : operating-points-v2 : drivers/base/power/opp/core.c : obj-y : none
-dDc--------- : /opp_table0 : operating-points-v2 : drivers/cpufreq/cpufreq-dt.c : CONFIG_CPUFREQ_DT : none
-dDc--------- : /opp_table0 : operating-points-v2 : drivers/misc/mediatek/base/power/mt8167/mt8167-cpufreq.c : CONFIG_MACH_MT8167 : none

-d-c----x---- : /panel@0 : cpt,clap070wp03xg_lvds : drivers/misc/mediatek/lcm/clap070wp03xg_lvds/clap070wp03xg_lvds.c : obj-y : none

-d-c--------- : /pmu : arm,armv8-pmuv3 : arch/arm64/kernel/perf_event.c : CONFIG_HW_PERF_EVENTS : none

-d-c--------- : /psci : arm,psci-0.2 : drivers/firmware/psci.c : CONFIG_ARM_PSCI_FW : none

------------- : /reserved-memory/atf-reserved-memory@43000000 : mediatek,mt8167-atf-reserved-memory : no_driver : no_config : none

-d-c--------- : /reserved-memory/minirdump-reserved-memory@444f0000 : mediatek,minirdump : drivers/misc/mediatek/aee/mrdump/mrdump_mini.c : CONFIG_MTK_AEE_IPANIC : none

------------- : /reserved-memory/mtee-reserved-memory : mediatek,mt8167-mtee-reserved-memory : no_driver : no_config : none

-d-c--------- : /reserved-memory/ram_console-reserved-memory@44400000 : mediatek,ram_console : drivers/misc/mediatek/ram_console/mtk_ram_console.c : CONFIG_MTK_RAM_CONSOLE : none

------W------ : /soc : simple-bus : no_driver : no_config : none

